Wall time,Step,Value
1705477908.1730988,19,3.2917709350585938
1705477936.124198,48,2.6938648223876953
1705477950.4892929,63,2.0716559886932373
1705477951.4936447,64,2.3833062648773193
1705477976.908199,90,2.2826499938964844
1705477990.6329172,104,2.0515122413635254
1705477994.380473,108,2.0469372272491455
1705478052.0564435,129,1.976518154144287
1705478086.6048799,165,2.1975302696228027
1705478093.9233675,173,1.840680718421936
1705478112.1605325,192,1.5472123622894287
1705478123.3932679,204,1.6535617113113403
1705478186.0487278,230,1.5116760730743408
1705478199.883303,245,1.6729962825775146
1705478213.6040704,260,1.633955717086792
1705478233.7630577,283,1.6546432971954346
1705478236.499786,286,1.4959101676940918
1705478264.54264,317,1.437015175819397
1705478267.2453868,320,1.543142557144165
1705478340.1741216,359,1.3980871438980103
1705478347.2445974,367,1.371855616569519
1705478365.2305045,387,1.5229015350341797
1705478379.3606179,403,1.5917460918426514
1705478390.8084257,416,1.5179972648620605
1705478410.1634045,438,1.1718515157699585
1705478456.6541698,447,1.3961292505264282
1705478470.2654004,462,1.4545488357543945
1705478473.9083989,466,1.4728360176086426
1705478482.997114,476,1.5727014541625977
1705478488.4337797,482,1.3312504291534424
1705478514.3218365,511,1.1967575550079346
1705478534.928944,534,1.3628367185592651
1705478539.4636598,539,1.3358657360076904
1705478541.1295595,541,1.3044593334197998
1705478592.7560616,557,1.4200372695922852
1705478598.1493928,563,1.4790805578231812
1705478627.029155,595,1.3394367694854736
1705478628.8935084,597,1.2764945030212402
1705478664.7700515,638,1.1032251119613647
1705478669.855708,644,1.3545002937316895
1705478670.677457,645,1.2572710514068604
1705478682.5221126,659,1.438855767250061
1705478736.0220509,676,1.3251206874847412
1705478777.2073977,722,1.25063157081604
1705478816.0324047,765,1.2947664260864258
1705478863.6694064,776,1.1934818029403687
1705478889.6280706,805,1.3362271785736084
1705478937.7480032,858,1.3617459535598755
1705478945.947931,867,1.2899776697158813
1705479001.8321571,887,1.1865999698638916
1705479052.480027,943,1.343297004699707
1705479141.83897,1000,1.1351242065429688
1705479156.5793586,1016,1.3191769123077393
1705479162.8672085,1023,1.1944184303283691
1705479166.40792,1027,1.3135030269622803
1705479176.2184582,1038,1.318716287612915
1705479193.4861288,1057,1.3434066772460938
1705479206.9194198,1072,1.0799071788787842
1705479212.216311,1078,1.189920425415039
1705479230.8160262,1099,1.1080491542816162
1705479279.5895789,1110,1.038881778717041
1705479281.4257998,1112,1.3732008934020996
1705479293.9188678,1126,1.0945677757263184
1705479300.1112478,1133,1.220684289932251
1705479317.366076,1152,1.2236130237579346
1705479318.236347,1153,1.4728018045425415
1705479329.2439725,1165,1.3869553804397583
1705479338.4387183,1175,1.3080531358718872
1705479340.2995756,1177,1.156770944595337
1705479347.4873981,1185,1.1881452798843384
1705479416.1657717,1219,1.4127922058105469
1705479422.406969,1226,1.0901689529418945
1705479446.7592905,1253,1.1269869804382324
1705479448.5655255,1255,1.4217932224273682
1705479451.3017483,1258,1.255123496055603
1705479454.8516207,1262,0.9762986898422241
1705479460.1742947,1268,1.1408414840698242
1705479463.7515736,1272,1.1308082342147827
1705479488.7852232,1299,1.1918199062347412
1705479551.8597982,1326,1.3989017009735107
1705479570.0884607,1346,1.2329297065734863
1705479597.6669066,1376,1.1986157894134521
1705479598.5937235,1377,0.9857078790664673
1705479636.1324234,1418,1.2296477556228638
1705479710.9262462,1458,1.1704390048980713
1705479711.790196,1459,0.8971296548843384
1705479744.9028997,1495,1.428774118423462
1705479752.3436816,1503,0.8854202032089233
1705479759.6952348,1511,1.0899205207824707
1705479762.4907036,1514,0.9303167462348938
1705479831.7437084,1549,1.0911004543304443
1705479834.5067286,1552,1.338104248046875
1705479847.0248682,1566,1.2901859283447266
1705479849.7210746,1569,1.2500840425491333
