Wall time,Step,Value
1710463139.900602,34402,0.9115140438079834
1710463153.0148096,34433,0.5031342506408691
1710463176.0629704,34488,0.5890657305717468
1710463207.1816125,34561,0.32473671436309814
1710463213.3243349,34576,0.39931589365005493
1710463215.8863404,34582,0.3883540630340576
1710463217.4579632,34586,0.4181978702545166
1710463226.1558976,34607,0.4054606258869171
1710463291.6269913,34628,0.5235004425048828
1710463307.6310074,34665,0.3540746569633484
1710463320.5738583,34696,0.40083086490631104
1710463354.5498722,34777,0.36525946855545044
1710463360.0912466,34790,0.4516633152961731
1710463391.6881254,34864,0.343570351600647
1710463394.286642,34870,0.4101693332195282
1710463418.143944,34925,0.3883153200149536
1710463426.6029122,34945,0.38002002239227295
1710463430.3843744,34953,0.45589715242385864
1710463432.0848882,34957,0.4838395118713379
1710463448.3888135,34996,0.42419275641441345
1710463499.2797558,35117,0.46774822473526
1710463504.6933742,35130,0.47390830516815186
1710463509.8060935,35142,0.4060909152030945
1710463518.7441537,35163,0.4692282974720001
1710463523.3654253,35174,0.3778517246246338
1710463524.6464486,35177,0.4753033220767975
1710463528.9035099,35187,0.4052586555480957
1710463544.70742,35226,0.32716104388237
1710463606.6932852,35238,0.2851713001728058
1710463614.550872,35256,0.32836243510246277
1710463617.4258995,35263,0.37326228618621826
1710463626.5630503,35285,0.37361443042755127
1710463641.5446563,35321,0.49052178859710693
1710463660.7164812,35368,0.5436798334121704
1710463663.5175111,35375,0.34484779834747314
1710463668.4890113,35387,0.5059014558792114
1710463675.7503898,35404,0.3799594044685364
1710463680.266848,35415,0.4752107858657837
1710463682.299109,35420,0.3534327745437622
1710463753.5045273,35589,0.637274980545044
1710463773.305857,35637,0.3766404390335083
1710463773.7828999,35638,0.4416410028934479
1710463836.1372526,35786,0.5741106867790222
1710463838.6221027,35792,0.3958848714828491
1710463844.9308312,35807,0.30709385871887207
1710463922.37973,35858,0.32426875829696655
1710463930.1754782,35876,0.5547864437103271
1710463945.9955091,35912,0.439358115196228
1710463954.1780682,35931,0.3544909358024597
1710463960.486194,35946,0.4252547025680542
1710463968.0439641,35964,0.42427271604537964
1710464018.1875005,36083,0.43236616253852844
1710464036.2504666,36127,0.32605329155921936
1710464072.0363374,36211,0.4241319000720978
1710464074.2406335,36216,0.32412415742874146
1710464093.4115715,36260,0.3698601722717285
1710464096.3564734,36267,0.3167635500431061
1710464128.1359975,36341,0.43680301308631897
1710464140.7782326,36371,0.5204793810844421
1710464255.34079,36506,0.3106408715248108
1710464268.077285,36535,0.2999308109283447
1710464276.6639845,36555,0.30472493171691895
1710464277.5353372,36557,0.4034919738769531
1710464287.2918572,36580,0.28985726833343506
1710464293.7654793,36595,0.3128606081008911
1710464309.8141274,36632,0.32753056287765503
1710464334.070783,36688,0.46137651801109314
1710464412.5365236,36869,0.4031721353530884
1710464416.370411,36878,0.491984099149704
1710464423.2310283,36894,0.3957540988922119
1710464465.1682174,36993,0.2845170199871063
1710464485.5736187,37042,0.3035000264644623
1710464501.379259,37080,0.34733152389526367
1710464561.0776079,37091,0.32479166984558105
1710464574.4064264,37123,0.3921510875225067
1710464575.6582813,37126,0.3357934355735779
1710464636.5000956,37271,0.3619518280029297
1710464648.5875766,37300,0.31292253732681274
1710464666.4276202,37342,0.35240015387535095
1710464676.0515487,37364,0.415682315826416
1710464683.428735,37381,0.3871460556983948
1710464690.9345934,37399,0.4804733097553253
1710464732.91028,37499,0.3333793878555298
1710464747.3687565,37533,0.41500240564346313
1710464780.3387165,37612,0.39713630080223083
1710464797.881203,37653,0.33684206008911133
1710464803.7976356,37667,0.4625352621078491
1710464878.7199335,37712,0.3378435969352722
1710464884.7166932,37726,0.4071226119995117
1710464902.0345137,37766,0.3236294984817505
1710464945.4969864,37867,0.3901386857032776
1710465039.639031,38087,0.3495904803276062
1710465077.6711102,38175,0.34283649921417236
1710465101.533943,38231,0.34191691875457764
1710465131.0739918,38301,0.31528013944625854
1710465133.6112323,38307,0.5082600116729736
1710465134.7532134,38310,0.26129889488220215
1710465207.2946522,38348,0.3931896388530731
1710465219.9473774,38378,0.4780563712120056
1710465223.325157,38386,0.30578482151031494
1710465246.0689938,38440,0.4098409116268158
1710465247.816986,38444,0.31659361720085144
1710465272.823923,38503,0.3584618866443634
1710465337.910953,38657,0.3834614157676697
1710465339.2445848,38660,0.5202092528343201
1710465351.1242456,38688,0.3301108479499817
1710465375.3089466,38745,0.43048322200775146
1710465436.554034,38889,0.32068145275115967
1710465543.2144837,39012,0.28836676478385925
1710465551.932105,39033,0.41242074966430664
1710465555.3496358,39041,0.37491077184677124
1710465562.3984175,39057,0.352245032787323
1710465577.1684296,39092,0.38753777742385864
1710465612.7250884,39175,0.41861623525619507
1710465638.1671798,39234,0.3145740032196045
1710465651.1988597,39265,0.36165493726730347
1710465651.605776,39266,0.24767419695854187
1710465834.1986792,39562,0.24938121438026428
1710465857.7528481,39615,0.4256914556026459
1710465919.471106,39761,0.3989044427871704
1710465944.901442,39820,0.3435652256011963
1710465955.1635942,39844,0.41553348302841187
1710465996.1863747,39941,0.29462379217147827
1710466004.584871,39961,0.24471068382263184
1710466008.3397627,39970,0.3768289387226105
1710466010.8743765,39976,0.31575989723205566
1710466067.027121,40109,0.30279308557510376
1710466070.7549453,40118,0.3398304283618927
1710466166.1257184,40209,0.2594076097011566
1710466166.9732878,40211,0.32445311546325684
1710466226.6796005,40352,0.22896119952201843
1710466230.46357,40361,0.44923311471939087
1710466238.4629903,40380,0.3768206238746643
1710466256.4354115,40423,0.27733114361763
1710466257.294085,40425,0.252756804227829
1710466297.1609297,40518,0.33851394057273865
1710466327.4441032,40590,0.3418717682361603
1710466343.1125424,40627,0.27950745820999146
1710466362.4026468,40672,0.31441324949264526
1710466374.2413304,40700,0.3970785140991211
1710466514.8893056,40894,0.3200535178184509
1710466542.83701,40959,0.32030636072158813
1710466546.9915984,40969,0.24550746381282806
1710466549.9899604,40976,0.3177531063556671
1710466559.5673974,40999,0.432168185710907
1710466611.2232587,41123,0.4065077304840088
1710466614.2056189,41130,0.3416280150413513
1710466643.7747276,41201,0.38135483860969543
1710466652.579706,41222,0.3508310914039612
1710466683.9169016,41296,0.2396092265844345
1710466808.6616437,41462,0.27093616127967834
1710466821.080917,41491,0.2757834792137146
1710466880.9316318,41632,0.38445210456848145
1710466904.7201576,41688,0.38638561964035034
1710466910.1352255,41700,0.27110224962234497
1710466917.677598,41718,0.49548667669296265
1710466921.8589816,41728,0.2870257794857025
1710466926.150975,41738,0.28650224208831787
1710466934.1171932,41757,0.2912972569465637
1710466949.2226186,41793,0.34243038296699524
1710466970.6862118,41844,0.39756298065185547
1710467017.539716,41954,0.38362789154052734
1710467111.4339023,42044,0.28102028369903564
1710467114.8667488,42052,0.32433345913887024
1710467118.2521827,42060,0.4108983874320984
1710467118.6510587,42061,0.37669771909713745
1710467130.4354854,42089,0.3602229356765747
1710467174.2305007,42191,0.3112594783306122
1710467236.4337454,42339,0.3456617295742035
1710467279.441285,42441,0.22579704225063324
1710467290.1693957,42466,0.3348269462585449
1710467306.769769,42506,0.24596670269966125
1710467320.7189362,42539,0.35194164514541626
1710467322.8106787,42544,0.279659241437912
1710467327.5854087,42555,0.32507216930389404
1710467350.7703652,42609,0.41021159291267395
1710467440.6474843,42690,0.30876004695892334
1710467460.241251,42736,0.2804534137248993
1710467467.4244468,42752,0.3054286241531372
1710467468.26629,42754,0.4247245192527771
1710467513.8661993,42862,0.4371486306190491
