Wall time,Step,Value
1709540260.974528,19,3.444139003753662
1709540288.228749,48,2.581228733062744
1709540302.0758371,63,2.294590950012207
1709540303.0180867,64,2.5312397480010986
1709540326.7525744,90,2.1373729705810547
1709540340.1933644,104,2.291778564453125
1709540343.9738152,108,2.194082736968994
1709540400.4700298,129,1.9774872064590454
1709540434.3675616,165,2.030526638031006
1709540441.7072854,173,1.7653310298919678
1709540458.9346907,192,1.858022928237915
1709540470.3655713,204,1.7902710437774658
1709540507.0253644,245,1.6781383752822876
1709540558.5772586,260,1.561814785003662
1709540579.7864265,283,1.6078839302062988
1709540582.5149615,286,1.6042883396148682
1709540613.460618,320,1.584017038345337
1709540656.0843358,367,1.6215789318084717
1709540712.303176,387,1.4331557750701904
1709540727.329272,403,1.5962624549865723
1709540739.2186325,416,1.5404984951019287
1709540759.0262842,438,1.4759180545806885
1709540784.3196394,466,1.492286205291748
1709540793.2251542,476,1.7936177253723145
1709540798.4685688,482,1.5244619846343994
1709540862.337265,511,1.5118434429168701
1709540883.6283314,534,1.3756732940673828
1709540888.1484745,539,1.7667670249938965
1709540889.8981311,541,1.5132944583892822
1709540904.6352563,557,1.283555269241333
1709540910.16415,563,1.4519281387329102
1709540939.850136,595,1.5274860858917236
1709540941.6375551,597,1.5264296531677246
1709541016.9748762,638,1.2937967777252197
1709541022.460073,644,1.2838479280471802
1709541023.3615358,645,1.4196150302886963
1709541035.9849153,659,1.4803900718688965
1709541051.2927556,676,1.372671365737915
1709541092.932868,722,1.3136242628097534
1709541170.1198053,765,1.4500019550323486
1709541180.3697112,776,1.6167223453521729
1709541207.3956792,805,1.4203912019729614
1709541255.7277572,858,1.4004054069519043
1709541263.583043,867,1.2194623947143555
1709541320.6188183,887,1.5699164867401123
1709541372.826028,943,1.2926113605499268
1709541462.3130815,1000,1.47700035572052
1709541476.9814095,1016,1.3422163724899292
1709541487.094096,1027,1.338956594467163
1709541496.8524716,1038,1.4581403732299805
1709541514.3914285,1057,1.2681376934051514
1709541528.4477837,1072,1.30893874168396
1709541534.177257,1078,1.3750715255737305
1709541563.9653518,1110,1.3265395164489746
1709541565.815963,1112,1.3522372245788574
1709541616.0727112,1126,1.2564465999603271
1709541622.4967082,1133,1.26116943359375
1709541639.575766,1152,1.2551116943359375
1709541640.5068104,1153,1.2016589641571045
1709541651.2603858,1165,1.4056382179260254
1709541660.181236,1175,1.309414267539978
1709541661.9334226,1177,1.222486972808838
1709541669.3868163,1185,1.1593279838562012
1709541700.278527,1219,1.3651206493377686
1709541769.2652519,1253,1.534797191619873
1709541771.0904179,1255,1.1997452974319458
1709541773.8586762,1258,1.534393548965454
1709541777.414717,1262,1.4357893466949463
1709541782.9066367,1268,1.6256277561187744
1709541786.4941232,1272,1.2641774415969849
1709541835.2990503,1326,1.230459451675415
1709541853.7299705,1346,1.3699134588241577
1709541919.2169046,1376,1.15542733669281
1709541920.1075437,1377,1.5874676704406738
1709541956.655685,1418,1.252821683883667
1709541993.0359092,1458,1.4815142154693604
1709541993.9054482,1459,1.3020148277282715
1709542063.3029675,1495,1.3580904006958008
1709542070.7799993,1503,1.245375633239746
1709542077.9785488,1511,1.190603494644165
1709542080.7396064,1514,1.0832839012145996
1709542112.5689342,1549,1.529707431793213
1709542115.2241137,1552,1.228241205215454
1709542128.0454562,1566,1.3442456722259521
1709542130.8802633,1569,1.2302172183990479
1709542146.7887354,1586,1.3756744861602783
1709542157.0698452,1597,1.2539472579956055
1709542222.8679874,1628,1.2892266511917114
1709542230.0934753,1636,1.1946218013763428
1709542263.0030494,1671,1.413196325302124
1709542277.079303,1686,1.1888669729232788
1709542292.4796987,1703,1.4392318725585938
1709542294.2507617,1705,1.269881248474121
1709542300.5925422,1712,1.2702356576919556
1709542398.6396968,1778,1.4366284608840942
1709542463.6646748,1848,1.4384782314300537
1709542513.8055134,1861,1.450246810913086
1709542520.2332163,1868,1.2809255123138428
1709542550.157269,1900,1.312007188796997
1709542552.9261773,1903,1.2546483278274536
1709542559.3873048,1910,1.1551423072814941
1709542587.8797386,1941,1.1774861812591553
1709542606.1020553,1961,1.1268353462219238
1709542607.01399,1962,1.2895619869232178
1709542623.4505224,1980,1.1897568702697754
1709542743.8358288,2071,1.3405559062957764
1709542752.079402,2080,1.4844920635223389
1709542761.2461383,2090,1.1042382717132568
1709542771.3905263,2101,1.2437715530395508
1709542908.8097959,2210,1.28427255153656
1709542973.9824731,2240,1.258255124092102
1709543048.6649218,2320,1.3839317560195923
1709543123.0480595,2360,1.4405162334442139
1709543154.7118933,2395,1.3004056215286255
1709543192.3655648,2437,1.0889618396759033
1709543196.9477541,2442,1.1965596675872803
1709543208.654613,2455,1.29557466506958
1709543216.0759885,2463,1.1338207721710205
1709543218.851394,2466,1.1547467708587646
1709543274.4354122,2486,1.2771648168563843
1709543291.0237114,2504,1.0949418544769287
1709543303.413737,2518,1.1168792247772217
1709543305.1864629,2520,1.1192631721496582
1709543314.8904417,2531,1.2447912693023682
1709543357.1427927,2578,1.3614866733551025
1709543358.125203,2579,1.0986225605010986
1709543376.900959,2600,1.1817327737808228
1709543440.196821,2628,1.320634126663208
1709543447.4990454,2636,1.179645299911499
1709543454.6732183,2644,1.240217924118042
1709543492.608862,2685,1.1819136142730713
1709543501.0169654,2694,1.2193045616149902
1709543514.7443848,2709,1.1659221649169922
1709543523.1293259,2718,1.3179337978363037
1709543577.7575173,2735,1.1985061168670654
1709543583.2448895,2741,1.186070442199707
1709543594.8738184,2754,1.1199419498443604
1709543595.7634363,2755,1.4450278282165527
1709543596.6342063,2756,1.297193169593811
1709543605.3853536,2766,1.3483399152755737
1709543608.216786,2769,1.2063504457473755
1709543623.6544247,2786,1.3026118278503418
1709543648.590376,2813,1.1076496839523315
1709543668.7063575,2835,1.197983741760254
1709543677.8533967,2845,1.2350425720214844
1709543731.4910922,2862,1.2024986743927002
1709543785.7726862,2922,1.2214384078979492
1709543814.320454,2953,1.3423258066177368
1709543817.0047734,2956,1.0861995220184326
1709543823.4020011,2963,1.277989149093628
1709543833.086199,2974,1.408928632736206
1709543925.4080276,3035,1.1108956336975098
1709543970.2538054,3084,1.1746888160705566
1709543971.15873,3085,1.419104814529419
1709544025.4499936,3104,1.1267260313034058
1709544026.4111238,3105,1.3739943504333496
1709544027.38373,3106,1.3367644548416138
