Wall time,Step,Value
1709705752.3047616,19,3.265056848526001
1709705778.0501108,48,2.935116767883301
1709705791.8707745,63,2.487696647644043
1709705792.7512708,64,2.490983247756958
1709705816.237257,90,2.2838125228881836
1709705829.2201684,104,2.4480671882629395
1709705832.953765,108,2.270794153213501
1709705892.2283323,129,2.2199127674102783
1709705924.649975,165,2.021117687225342
1709705931.6271803,173,2.081923007965088
1709705948.0303533,192,1.969878911972046
1709705958.1127372,204,1.8357963562011719
1709705992.6556177,245,1.887688398361206
1709706045.4746096,260,1.8090598583221436
1709706065.6876004,283,1.9035918712615967
1709706068.3364146,286,2.303248882293701
1709706097.979775,320,1.6088342666625977
1709706138.5062451,367,1.6995813846588135
1709706195.419826,387,1.66893470287323
1709706208.9462712,403,1.8036476373672485
1709706220.0727477,416,1.5779509544372559
1709706238.4542923,438,1.810551643371582
1709706262.8778768,466,1.9025545120239258
1709706271.3673966,476,1.6848981380462646
1709706276.4625058,482,1.8385355472564697
1709706340.68612,511,1.6462457180023193
1709706360.3992279,534,1.5073235034942627
1709706364.752303,539,1.6527252197265625
1709706366.4642045,541,1.758599042892456
1709706379.9399323,557,1.7470017671585083
1709706385.1145527,563,1.8012983798980713
1709706412.8467922,595,1.6682332754135132
1709706414.5883996,597,1.731576681137085
1709706488.9833276,638,1.6551930904388428
1709706494.2104316,644,1.6701840162277222
1709706495.0799706,645,1.607314944267273
1709706507.466128,659,1.8138561248779297
1709706522.4594522,676,1.7810053825378418
1709706562.1159334,722,1.5247242450714111
1709706639.4076917,765,1.6064223051071167
1709706648.9078076,776,1.698272943496704
1709706673.1950414,805,1.739965796470642
1709706719.7368944,858,1.571995496749878
1709706727.4454432,867,1.7370553016662598
1709706784.1051114,887,1.5563337802886963
1709706832.1015024,943,1.615135669708252
1709706880.7790995,1000,1.5058033466339111
1709706933.6001425,1016,1.6839165687561035
1709706942.5146282,1027,1.548903226852417
1709706951.465992,1038,1.5143104791641235
1709706967.3185477,1057,1.5138766765594482
1709706979.7304895,1072,1.6956212520599365
1709706984.6566076,1078,1.5331659317016602
1709707010.7021415,1110,1.4718929529190063
1709707012.436644,1112,1.5464526414871216
1709707063.9398599,1126,1.6335928440093994
1709707069.65554,1133,1.625483512878418
1709707085.7554798,1152,1.5963184833526611
1709707086.5491278,1153,1.431735634803772
1709707096.5254593,1165,1.5620406866073608
1709707105.0705767,1175,1.7656816244125366
1709707106.7040803,1177,1.4734179973602295
1709707113.529245,1185,1.6669262647628784
1709707142.0189915,1219,1.6423574686050415
1709707209.6064615,1253,1.4950273036956787
1709707211.2204883,1255,1.6594194173812866
1709707213.786515,1258,1.63664710521698
1709707217.2085292,1262,1.6126306056976318
1709707222.4239538,1268,1.6753556728363037
1709707225.9137504,1272,1.5044329166412354
1709707272.0418398,1326,1.4092907905578613
1709707288.61314,1346,1.3536553382873535
1709707353.2116542,1376,1.7998346090316772
1709707354.2771575,1377,1.5679235458374023
1709707389.3545063,1418,1.4020196199417114
1709707423.1522682,1458,1.5812323093414307
1709707424.0154207,1459,1.3767077922821045
1709707454.5682056,1495,1.443566083908081
1709707500.8492455,1503,1.4421110153198242
1709707507.5377424,1511,1.4931719303131104
1709707510.0850697,1514,1.708209753036499
1709707539.7471,1549,1.6259844303131104
1709707542.255455,1552,1.3132658004760742
1709707553.978711,1566,1.5763148069381714
1709707556.5857723,1569,1.526691198348999
1709707571.004265,1586,1.61049222946167
1709707580.3040807,1597,1.64371919631958
1709707648.4788048,1628,1.4830234050750732
1709707655.4825423,1636,1.4814338684082031
1709707686.0696597,1671,1.529933214187622
1709707698.7237034,1686,1.7697333097457886
1709707713.1528463,1703,1.5600881576538086
1709707714.9946275,1705,1.567022442817688
1709707720.9862802,1712,1.4292724132537842
1709707816.630784,1778,1.5043871402740479
1709707876.8478165,1848,1.518984317779541
1709707887.6276577,1861,1.5048491954803467
1709707893.6328638,1868,1.464395523071289
1709707959.7766242,1900,1.4307478666305542
1709707962.237074,1903,1.5761804580688477
1709707968.385067,1910,1.5464261770248413
1709707994.2354279,1941,1.4294543266296387
1709708010.9909225,1961,1.5828197002410889
1709708011.8455658,1962,1.4510729312896729
1709708026.5618908,1980,1.4945745468139648
1709708144.0510533,2071,1.5791372060775757
1709708151.8720179,2080,1.3095154762268066
1709708160.6240926,2090,1.4872387647628784
1709708170.152681,2101,1.5809283256530762
1709708301.3662744,2210,1.6084208488464355
1709708326.840394,2240,1.7087643146514893
1709708434.390525,2320,1.7480822801589966
1709708468.470341,2360,1.5094245672225952
1709708538.4506538,2395,1.3738484382629395
1709708574.5502691,2437,1.3530898094177246
1709708578.723687,2442,1.4011297225952148
1709708590.0269148,2455,1.5751097202301025
1709708596.9544733,2463,1.4636287689208984
1709708599.5607824,2466,1.5539848804473877
1709708616.469573,2486,1.5217342376708984
1709708671.0631208,2504,1.3192352056503296
1709708683.138488,2518,1.40545654296875
1709708694.2089515,2531,1.5762841701507568
1709708733.9068096,2578,1.4832738637924194
1709708734.7767322,2579,1.503897786140442
1709708752.305473,2600,1.457061767578125
1709708815.1777856,2628,1.4745087623596191
1709708822.069637,2636,1.7233504056930542
1709708828.984123,2644,1.3568177223205566
1709708863.497056,2685,1.7206027507781982
1709708870.92904,2694,1.4388964176177979
1709708883.7153232,2709,1.5150107145309448
1709708891.3189356,2718,1.4493855237960815
1709708906.055087,2735,1.640697956085205
1709708911.091123,2741,1.3869407176971436
1709708962.0871797,2754,1.4274381399154663
1709708962.9737012,2755,1.5181736946105957
1709708963.8450563,2756,1.5450830459594727
1709708972.2612007,2766,1.4489123821258545
1709708974.7689874,2769,1.516418218612671
1709708988.786808,2786,1.475170373916626
1709709011.7413483,2813,1.7427772283554077
1709709030.7046936,2835,1.517943024635315
1709709039.3359385,2845,1.3404287099838257
1709709054.3852317,2862,1.4921720027923584
1709709144.4456122,2922,1.555245041847229
1709709171.3057852,2953,1.4744534492492676
1709709173.7823994,2956,1.5100529193878174
1709709179.7715554,2963,1.3037441968917847
1709709189.1890182,2974,1.4947786331176758
1709709282.7480965,3035,1.397087812423706
1709709325.0513372,3084,1.2446041107177734
1709709325.8929567,3085,1.6090118885040283
1709709342.402029,3104,1.6482995748519897
1709709343.3019288,3105,1.4248628616333008
1709709344.1955168,3106,1.6055405139923096
1709709357.1598547,3121,1.4604909420013428
1709709419.1285217,3146,1.3550397157669067
1709709443.2368202,3174,1.6015403270721436
1709709459.3900747,3193,1.3359298706054688
1709709465.3171167,3200,1.2538952827453613
1709709481.2001097,3218,1.4149327278137207
1709709483.7577286,3221,1.4738022089004517
1709709501.2360446,3242,1.216294288635254
1709709560.306029,3266,1.4015213251113892
1709709562.8393888,3269,1.2918438911437988
1709709595.3970242,3307,1.3760336637496948
1709709624.4971082,3341,1.469650387763977
1709709638.0864737,3357,1.3659636974334717
1709709718.0067565,3405,1.2456564903259277
1709709766.5013275,3462,1.325767993927002
1709709784.897024,3484,1.748839259147644
1709709785.7630336,3485,1.643044352531433
1709709791.7616973,3492,1.5432896614074707
1709709839.2845592,3501,1.54060959815979
1709709860.6521876,3527,1.6824748516082764
1709709893.3225505,3567,1.533468246459961
1709709895.813744,3570,1.4574882984161377
1709709921.4341998,3601,1.5280847549438477
1709709934.970659,3617,1.4675242900848389
1709710006.5471191,3655,1.4932780265808105
1709710009.086389,3658,1.519484043121338
1709710010.795827,3660,1.5872788429260254
1709710012.4887724,3662,1.3872894048690796
1709710015.0098865,3665,1.2544142007827759
1709710018.2976902,3669,1.4875308275222778
1709710020.836413,3672,1.3155230283737183
1709710037.241287,3691,1.3374018669128418
1709710056.0399272,3713,1.4752124547958374
1709710137.8944175,3762,1.3547759056091309
1709710155.6570258,3783,1.3677186965942383
1709710211.8453486,3849,1.484258770942688
1709710213.4642198,3851,1.616483211517334
1709710229.4823358,3870,1.5652811527252197
1709710298.3242033,3903,1.4413151741027832
1709710306.1775184,3912,1.3365179300308228
1709710309.5471787,3916,1.461500644683838
1709710314.918289,3922,1.3277438879013062
1709710325.605615,3934,1.5565974712371826
1709710328.2667706,3937,1.4687029123306274
1709710362.4144392,3976,1.5792760848999023
1709710434.130186,4013,1.6553932428359985
1709710435.781968,4015,1.2157387733459473
1709710443.6445124,4024,1.478736400604248
1709710453.1309881,4035,1.283420443534851
1709710458.3617406,4041,1.499092936515808
1709710464.4537106,4048,1.4094246625900269
1709710496.829218,4085,1.4962692260742188
1709710518.4284277,4110,1.3868646621704102
1709710523.6828103,4116,1.5302255153656006
1709710528.8808203,4122,1.4813876152038574
1709710531.3137047,4125,1.4560213088989258
1709710589.7049289,4147,1.4162174463272095
1709710619.5139573,4182,1.3632761240005493
1709710629.2358472,4193,1.315508484840393
1709710659.9719048,4228,1.58036470413208
1709710726.2301617,4258,1.439021348953247
1709710778.778798,4319,1.3832758665084839
1709710787.1043005,4329,1.4410524368286133
1709710885.19179,4396,1.4132490158081055
1709710926.8439183,4444,1.385051965713501
1709710936.2095144,4455,1.4651920795440674
1709711036.492643,4526,1.4524188041687012
1709711045.2533183,4536,1.4199109077453613
1709711048.7145782,4540,1.318051815032959
1709711070.4870794,4565,1.3052518367767334
1709711109.9886687,4610,1.5668377876281738
1709711112.6667967,4613,1.2813667058944702
1709711184.614732,4650,1.6268877983093262
1709711216.8480392,4687,1.4749295711517334
1709711220.2229793,4691,1.4886176586151123
1709711221.9260328,4693,1.6046843528747559
1709711226.9729464,4699,1.4318668842315674
1709711234.582272,4708,1.3644719123840332
1709711254.5139146,4731,1.507799506187439
1709711260.4478543,4738,1.535117506980896
1709711333.6890666,4777,1.4281058311462402
1709711334.539553,4778,1.4835748672485352
1709711360.8387837,4808,1.3520658016204834
1709711380.9763093,4831,1.4864246845245361
1709711382.750407,4833,1.351272463798523
1709711385.4491768,4836,1.2591872215270996
1709711386.3247998,4837,1.391403079032898
1709711392.9915736,4845,1.396064043045044
1709711465.7993157,4883,1.3262966871261597
1709711490.171849,4911,1.2964611053466797
1709711507.304941,4930,1.3440362215042114
1709711516.7791703,4941,1.3767484426498413
1709711524.944772,4950,1.2895859479904175
1709711552.0985968,4981,1.3295714855194092
1709711561.815014,4992,1.5452871322631836
1709711650.182816,5048,1.3197429180145264
1709711666.737748,5067,1.3807862997055054
1709711677.8124363,5080,1.2886329889297485
1709711685.5081987,5089,1.4549062252044678
1709711687.205722,5091,1.5715190172195435
1709711762.5467403,5133,1.4372131824493408
1709711765.8598514,5137,1.4958469867706299
1709711769.1842406,5141,1.472328782081604
1709711778.7396138,5152,1.2998642921447754
1709711781.334947,5155,1.3313485383987427
1709711782.2173398,5156,1.4200332164764404
1709711809.9065,5188,1.2550578117370605
1709711820.846287,5201,1.2910960912704468
1709711836.7776058,5219,1.3220856189727783
1709711842.9431574,5226,1.3833045959472656
1709711854.5553129,5239,1.3256661891937256
1709711907.4712033,5254,1.4631352424621582
1709711915.4527793,5263,1.3501923084259033
1709711918.0968318,5266,1.425323486328125
1709711944.3817458,5296,1.3944863080978394
1709711965.5469966,5320,1.2977476119995117
1709711968.2934182,5323,1.4653761386871338
1709711970.0798326,5325,1.401292324066162
1709711973.5705566,5329,1.7082587480545044
1709712003.7452192,5363,1.3151711225509644
1709712010.8198678,5371,1.3341071605682373
1709712079.899987,5404,1.4835399389266968
1709712117.36416,5446,1.5075947046279907
1709712125.2262018,5455,1.5517792701721191
