Wall time,Step,Value
1708794883.4506342,19,2.9217610359191895
1708794924.5090952,63,2.591886043548584
1708794965.9091556,108,2.4421348571777344
1708795027.365747,173,2.139256715774536
1708795093.217558,245,2.2103090286254883
1708795147.3893318,260,1.9812586307525635
1708795168.3723874,283,2.0784122943878174
1708795273.583848,403,1.7800114154815674
1708795284.7946675,416,2.0614988803863525
1708795303.9867575,438,1.8637380599975586
1708795329.138047,466,1.8411195278167725
1708795409.3729737,511,1.7223272323608398
1708795428.9278934,534,1.8767248392105103
1708795433.158255,539,1.8326959609985352
1708795448.0479896,557,1.804949164390564
1708795481.998778,597,1.9241738319396973
1708795517.6545644,638,1.9057304859161377
1708795522.6111534,644,1.8854209184646606
1708795535.2818086,659,1.7258597612380981
1708795590.4736934,722,1.6027915477752686
1708795676.8401234,776,2.0988082885742188
1708795749.6238108,858,1.6447041034698486
1708795757.3446834,867,1.7122312784194946
1708795870.837909,1000,1.5858925580978394
1708795926.0872774,1016,1.6696829795837402
1708795936.0849555,1027,1.511737585067749
1708796008.3384616,1110,2.0340933799743652
1708796009.9803212,1112,1.6418614387512207
1708796022.05147,1126,1.6185328960418701
1708796027.8526905,1133,1.757185697555542
1708796044.8651206,1153,1.6554818153381348
1708796063.3972726,1175,1.4534351825714111
1708796065.025754,1177,1.5980939865112305
1708796071.8849025,1185,1.5845770835876465
1708796101.4661372,1219,1.6937037706375122
1708796173.7765841,1255,1.6025352478027344
1708796176.5492013,1258,1.5729936361312866
1708796185.3434489,1268,1.701007604598999
1708796252.5790718,1346,1.551166296005249
1708796279.3787832,1377,1.564475417137146
1708796314.9158137,1418,1.777823805809021
1708796349.5023088,1458,1.4753448963165283
1708796350.4619622,1459,1.6817997694015503
1708796381.2003405,1495,1.455723762512207
1708796436.54777,1511,1.5906115770339966
1708796439.247839,1514,1.8226544857025146
1708796468.5419328,1549,1.5272501707077026
1708796470.9841774,1552,1.721819281578064
1708796509.3116944,1597,1.616160273551941
1708796535.3272429,1628,1.5288753509521484
1708796542.144305,1636,1.4384791851043701
1708796599.6821122,1703,1.5317929983139038
1708796607.3633347,1712,1.5057607889175415
1708796703.8879538,1778,1.7038918733596802
1708796774.5784461,1861,1.6719183921813965
1708796807.8882022,1900,1.5168391466140747
1708796810.4174514,1903,1.7672021389007568
1708796816.3477757,1910,1.5207545757293701
1708796842.3973918,1941,1.5646953582763672
1708796860.3007636,1962,1.3923348188400269
1708797002.7696545,2080,1.5742065906524658
1708797020.962222,2101,1.7824015617370605
1708797113.3710632,2210,1.734950304031372
1708797139.4561377,2240,1.616339921951294
1708797282.5373406,2360,1.5842236280441284
1708797311.9874337,2395,1.5916447639465332
1708797348.0630567,2437,1.3151415586471558
1708797352.3079867,2442,1.4618477821350098
1708797369.6038675,2463,1.6090574264526367
1708797372.1848662,2466,1.5678839683532715
1708797456.2221727,2518,1.484921932220459
1708797468.345212,2531,1.4716495275497437
1708797507.1960914,2578,1.5485732555389404
1708797525.6689806,2600,1.5723942518234253
1708797548.8350372,2628,1.6196173429489136
1708797555.2535439,2636,1.4778602123260498
1708797561.6706448,2644,1.4856774806976318
1708797596.6865435,2685,1.4834191799163818
1708797624.5465455,2718,1.424783706665039
1708797638.9515162,2735,1.5305768251419067
1708797704.2569666,2754,1.641350269317627
1708797705.032344,2755,1.6120705604553223
1708797705.7829792,2756,1.507199764251709
1708797733.8164532,2786,1.5070735216140747
1708797756.184124,2813,1.5737366676330566
1708797774.7379775,2835,1.5728882551193237
1708797874.9267013,2953,1.6801129579544067
1708797892.805915,2974,1.5491259098052979
1708797997.6196501,3035,1.7150866985321045
1708798039.2299633,3084,1.558833360671997
1708798057.1997163,3105,1.7218708992004395
1708798092.0512989,3146,1.713753581047058
1708798116.4801757,3174,1.789576530456543
1708798138.3782735,3200,1.5972552299499512
1708798153.5938318,3218,1.506938099861145
1708798156.0817604,3221,1.83616042137146
1708798246.0700366,3266,1.496658205986023
1708798248.5240645,3269,1.4456148147583008
1708798280.2376812,3307,1.4971174001693726
1708798412.7909312,3462,1.6873220205307007
1708798432.0618424,3484,1.7110846042633057
1708798438.9831364,3492,1.631901741027832
1708798490.3708336,3501,1.3647503852844238
1708798546.8873668,3567,1.3857505321502686
1708798549.366555,3570,1.443114161491394
1708798575.6835964,3601,1.559788703918457
1708798592.1185381,3617,1.462338924407959
1708798624.7265673,3655,1.6574219465255737
1708798627.6387746,3658,1.5773879289627075
1708798632.119757,3662,1.4285324811935425
1708798640.337867,3669,1.3646889925003052
1708798642.8260422,3672,1.4393213987350464
